fold,train_size,test_size,test_start,test_end,mae,rmse,smape,crowd_f1,crowd_recall,crowd_precision,suitability_f1,suitability_recall,suitability_precision,brier,ece,expected_cost
1,2328,90,2025-04-08,2025-07-06,2505.0194227430557,3845.3357052594974,14.136215048145528,0.7536231884057971,0.8125,0.7027027027027027,0.912621359223301,0.9215686274509803,0.9038461538461539,0.07030777199884332,0.06781866447895737,0.2777777777777778
2,2418,90,2025-07-07,2025-10-04,2570.7214301215276,3476.0645621096137,9.752125991602423,0.9433962264150944,0.9615384615384616,0.9259259259259259,0.9764705882352941,0.9764705882352941,0.9764705882352941,0.035600936972946,0.036792777409806125,0.13333333333333333
3,2508,90,2025-10-05,2026-01-02,3174.6034342447915,4499.0596317113495,15.864415763188669,0.9523809523809523,0.9433962264150944,0.9615384615384616,0.9781021897810219,0.9710144927536232,0.9852941176470589,0.028483442588004396,0.028575546855231074,0.12222222222222222
4,2598,90,2026-01-03,2026-04-02,2264.1060655381943,3556.412810039079,18.95853631291576,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.04438337258550294,0.045230175046294854,0.13333333333333333
