date,y_true,y_pred_mean,lower,upper,std
2025-10-03,41000.0,36780.7,31774.4,41493.1,2981.8
2025-10-04,41000.0,35402.2,31256.8,40174.3,2546.4
2025-10-05,41000.0,34189.8,28863.7,39378.7,3239.5
2025-10-06,41000.0,35234.1,30535.4,40533.8,2975.6
2025-10-07,41000.0,34872.8,28506.8,38561.8,3072.9
2025-10-08,21284.2,33212.2,27823.6,37952.7,3031.1
2025-10-09,21353.2,14321.5,10941.2,17940.5,2219.1
2025-10-10,21068.3,20505.9,18556.9,23142.6,1568.1
2025-10-11,25022.8,22891.1,20392.5,24580.9,1482.5
2025-10-12,27691.9,25886.4,22188.9,29370.9,2231.9
2025-10-13,35354.1,29154.6,24983.2,33244.3,2593.0
2025-10-14,39081.7,35439.7,30737.8,40034.5,2889.1
2025-10-15,41000.0,38421.9,33829.5,43301.9,3062.1
2025-10-16,36152.8,39141.8,34676.4,43881.3,2811.1
2025-10-17,40525.2,34322.1,29807.8,38179.9,2664.6
2025-10-18,41000.0,37718.8,32732.6,42367.2,2988.4
2025-10-19,41000.0,39568.0,35238.5,43430.5,2868.1
2025-10-20,36141.8,36013.1,30705.4,40276.6,3182.3
2025-10-21,41000.0,31713.7,27730.0,35273.6,2374.0
2025-10-22,41000.0,38475.6,34143.4,42880.8,2809.2
2025-10-23,41000.0,39293.2,33515.4,43970.4,3227.4
2025-10-24,41000.0,38548.8,34126.8,43580.6,2858.6
2025-10-25,41000.0,38502.5,34066.3,43680.7,3189.0
2025-10-26,41000.0,39124.9,33300.1,43852.8,3239.7
2025-10-27,41000.0,36876.1,31524.4,42186.5,3065.0
2025-10-28,41000.0,36752.6,30966.7,42482.0,3153.1
2025-10-29,40190.3,38937.9,35885.8,42416.3,2289.7
2025-10-30,41000.0,37438.3,34217.5,41137.5,2415.2
2025-10-31,41000.0,38511.2,33885.8,42292.4,2754.1
2025-11-01,41000.0,37958.6,32727.7,42732.4,3281.3
2025-11-02,41000.0,39184.9,33914.7,44730.6,3525.4
2025-11-03,37555.3,37402.4,31523.5,43226.4,3591.0
2025-11-04,41000.0,34630.7,31399.7,37962.6,2135.8
2025-11-05,37481.3,39178.2,35468.7,43500.1,2534.2
2025-11-06,32171.2,35715.6,31788.9,39810.3,2753.8
2025-11-07,32561.1,31050.7,26827.6,33875.8,2210.0
2025-11-08,41000.0,32153.6,28544.9,36134.4,2327.3
2025-11-09,33884.6,41208.0,36729.8,46711.0,3498.1
2025-11-10,23954.2,30420.2,27220.6,33601.1,1933.5
2025-11-11,22484.8,22814.8,20580.8,24831.4,1354.3
2025-11-12,39952.4,22937.6,20127.8,25147.9,1580.7
2025-11-13,41000.0,37889.6,34232.3,42746.4,2778.1
2025-11-14,41000.0,39207.9,33138.1,44642.7,3608.0
2025-11-15,39965.4,36601.6,32357.6,40351.5,2684.0
2025-11-16,23006.6,37411.3,32952.3,42948.3,2883.6
2025-11-17,22758.7,17707.7,14419.6,20632.0,1909.0
2025-11-18,23006.6,21327.8,18323.8,24207.2,1889.4
2025-11-19,21863.0,23436.0,20172.0,26534.4,1709.3
2025-11-20,23006.6,23051.6,19753.2,25668.3,1966.8
2025-11-21,23006.6,23614.2,20853.9,26234.1,1787.0
2025-11-22,23006.6,24119.0,21447.9,26618.3,1698.7
2025-11-23,23006.6,23381.6,21046.6,26411.9,1834.4
2025-11-24,13630.0,21426.2,18146.0,24408.9,1883.7
2025-11-25,12108.6,14030.0,11853.0,15842.3,1125.2
2025-11-26,10698.1,13313.2,11224.9,14961.6,1123.8
