fold,train_size,test_size,test_start,test_end,mae,rmse,smape,crowd_f1,crowd_recall,crowd_precision,suitability_f1,suitability_recall,suitability_precision,brier,ece,expected_cost
1,2328,90,2025-04-08,2025-07-06,2539.7617458767363,4000.097965765062,14.349211989553856,0.7419354838709677,0.71875,0.7666666666666667,0.9292929292929293,0.9019607843137255,0.9583333333333334,0.06425237524937641,0.06240475988503586,0.3
2,2418,90,2025-07-07,2025-10-04,2857.0409071180557,3728.531474954673,10.368968822198646,0.9433962264150944,0.9615384615384616,0.9259259259259259,0.9707602339181286,0.9764705882352941,0.9651162790697675,0.03522640119911004,0.041675592182733354,0.14444444444444443
3,2508,90,2025-10-05,2026-01-02,3184.874810112847,4464.628092100792,15.296567135568914,0.9423076923076923,0.9245283018867925,0.9607843137254902,0.9705882352941176,0.9565217391304348,0.9850746268656716,0.032556726240858196,0.03873501927790981,0.17777777777777778
4,2598,90,2026-01-03,2026-04-02,2259.2288465711804,3403.7434169223893,19.368758498249832,0.6666666666666666,0.6363636363636364,0.7,0.927536231884058,0.9142857142857143,0.9411764705882353,0.041127305769646634,0.04729962936023614,0.18888888888888888
