fold,train_size,test_size,test_start,test_end,mae,rmse,smape,crowd_f1,crowd_recall,crowd_precision,suitability_f1,suitability_recall,suitability_precision,brier,ece,expected_cost
1,0,630,2025-04-01,2025-06-29,4231.186580016121,6413.390254706745,23.407354438485907,0.5996275605214153,0.8009950248756219,0.4791666666666667,0.6490939044481054,0.8382978723404255,0.5295698924731183,0.26056726047778483,0.26117703766211686,0.5793650793650794
2,0,630,2025-06-30,2025-09-27,3503.968779451885,4613.72187317685,13.518246270006271,0.9272237196765498,0.943327239488117,0.911660777385159,0.9272237196765498,0.943327239488117,0.911660777385159,0.11671018812094959,0.11036524428898156,0.3253968253968254
3,0,630,2025-09-28,2025-12-26,5216.877592540923,6844.587833440768,25.8338995691423,0.9408528198074277,0.8883116883116883,1.0,0.9410150891632373,0.8886010362694301,1.0,0.060067873112878686,0.06796033178917334,0.3412698412698413
4,0,630,2025-12-27,2026-03-26,2817.296110026042,4082.007549800647,23.727825417465027,0.5079365079365079,0.3855421686746988,0.7441860465116279,0.6779661016949152,0.5660377358490566,0.8450704225352113,0.07804682369779486,0.0673289612770369,0.3825396825396825
